,CaseID,Opened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Street,Supervisor District,Neighborhood,Police District,Latitude,Longitude,Point,Source,Media URL,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,DELETE - Supervisor Districts,DELETE - Fire Prevention Districts,DELETE - Current Police Districts,DELETE - Zip Codes,DELETE - Police Districts,DELETE - Neighborhoods,DELETE - Neighborhoods_from_fyvs_ahh9,DELETE - 2017 Fix It Zones,DELETE - SF Find Neighborhoods,Civic Center Harm Reduction Project Boundary,DELETE - Current Supervisor Districts,Fix It Zones as of 2017-11-06 ,Invest In Neighborhoods (IIN) Areas,DELETE - HSOC Zones,Fix It Zones as of 2018-02-07,"CBD, BID and GBD Boundaries as of 2017",Central Market/Tenderloin Boundary,"Areas of Vulnerability, 2016",Central Market/Tenderloin Boundary Polygon - Updated,HSOC Zones as of 2018-06-05,OWED Public Spaces,Parks Alliance CPSI (27+TL sites),Neighborhoods
3096059,11699285,11/17/2019 09:32:00 AM,11/17/2019 10:08:00 AM,11/17/2019 10:08:00 AM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,Human or Animal Waste,Human or Animal Waste,"1930 MASON ST, SAN FRANCISCO, CA, 94133",MASON ST,3.0,Russian Hill,CENTRAL,37.8013903,-122.4125844,"(37.8013903, -122.4125844)",Mobile/Open311,,107.0,6.0,3.0,6.0,10.0,3.0,1.0,308.0,1.0,4.0,4.0,,107.0,,3.0,,,,,,,2.0,,,,,107.0
306468,422127,04/30/2009 01:06:11 PM,05/04/2009 06:15:51 AM,05/04/2009 06:15:51 AM,Closed,DPT Abandoned Vehicles - Gone on Arrival - #395 5/1/09 @ 1517,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicle - Car2door,black - Audi - n/a - 5YYH868,"1406 17TH AVE, SAN FRANCISCO, CA, 94122",17TH AVE,7.0,Inner Sunset,TARAVAL,37.761661529541,-122.474708557129,"(37.76166153, -122.47470856)",Phone,,109.0,10.0,8.0,14.0,4.0,1.0,5.0,56.0,8.0,12.0,12.0,,109.0,,8.0,,,,,,,1.0,,,,,109.0
351260,335247,12/18/2008 06:38:50 PM,02/25/2009 08:10:00 AM,02/25/2009 08:10:00 AM,Closed,See Notes tab for more details,DPW Ops Queue,Graffiti,Graffiti on Building_other,Building_other - Not_Offensive,"2796 DIAMOND ST, SAN FRANCISCO, CA, 94131",DIAMOND ST,8.0,Glen Park,INGLESIDE,37.734607696533,-122.433952331543,"(37.7346077, -122.43395233)",Phone,,96.0,9.0,5.0,10.0,5.0,2.0,4.0,63.0,7.0,7.0,7.0,15.0,96.0,,5.0,17.0,,,17.0,,,1.0,,,,,96.0
2520520,7018499,04/06/2017 03:37:13 PM,04/11/2017 08:50:56 AM,04/11/2017 08:50:56 AM,Closed,DPT Abandoned Vehicles- Gone on Arrival - 04/10/2017  @ 1249 HRS BY #129,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicles,DPT Abandoned Vehicles Low,"307 MULLEN AVE, SAN FRANCISCO, CA, 94110",MULLEN AVE,9.0,Peralta Heights,INGLESIDE,37.746512873371,-122.406261039534,"(37.74651287, -122.40626104)",Web,,60.0,9.0,2.0,2.0,7.0,2.0,4.0,28859.0,7.0,2.0,2.0,,60.0,,2.0,,,,,,,1.0,,,,,60.0
3745454,1026992,12/20/2011 03:48:54 PM,05/04/2012 09:33:00 AM,05/04/2012 09:33:00 AM,Closed,Case Resolved - Closed,DPW BSM Queue,Sidewalk or Curb,Curb_or_Curb_Ramp_Defect,Curb_or_Curb_Ramp_Defect,"1583 FUNSTON AVE, SAN FRANCISCO, CA, 94122",FUNSTON AVE,7.0,Golden Gate Heights,TARAVAL,37.758598327637,-122.470367431641,"(37.75859833, -122.47036743)",Phone,,44.0,10.0,8.0,14.0,4.0,1.0,5.0,56.0,8.0,12.0,12.0,,44.0,,8.0,,,,,,,1.0,,,,,44.0
5258338,15302826,05/07/2022 07:16:00 AM,05/18/2022 09:30:20 PM,05/18/2022 09:30:20 PM,Closed,Case Resolved - Per process - cases are closed 10 days after assignment.,Clear Channel - Transit Queue,Damaged Property,Damaged Transit_Shelter_Platform_Hazardous,Transit_Shelter_Platform_Hazardous,"1178 PLYMOUTH AVE, SAN FRANCISCO, CA, 94112",PLYMOUTH AVE,11.0,Ingleside,TARAVAL,37.723453521729,-122.456008911133,"(37.72345352, -122.45600891)",Phone,,64.0,10.0,8.0,24.0,4.0,9.0,5.0,28861.0,8.0,24.0,24.0,,64.0,,8.0,19.0,6.0,,19.0,13.0,,2.0,,,,,64.0
5071734,10832701,05/08/2019 08:00:49 AM,05/08/2019 12:52:24 PM,05/08/2019 12:52:24 PM,Closed,"Encampment Removed
No longer here.",HSOC Queue,Encampments,Encampment Reports,Encampment Cleanup,"530 GOLDEN GATE AVE, SAN FRANCISCO, CA, 94102",GOLDEN GATE AVE,5.0,Civic Center,NORTHERN,37.781254597147,-122.419280325504,"(37.7812546, -122.41928033)",Mobile/Open311,,21.0,4.0,10.0,36.0,9.0,7.0,6.0,28852.0,9.0,36.0,36.0,,21.0,1.0,10.0,,,1.0,,8.0,1.0,2.0,1.0,1.0,,,21.0
4002884,13535832,02/26/2021 02:16:00 PM,02/26/2021 02:36:20 PM,02/26/2021 02:36:20 PM,Closed,Case Resolved - Police Officer responded to request under CAD # 210571863.  Issue reported could not be validated.,Parking Enforcement Dispatch Queue,Parking Enforcement,Other_Illegal_Parking,Dark gray - Ford king cab pick-up (4-door) - 27908X2,"1482 MASONIC AVE, SAN FRANCISCO, CA, 94117",MASONIC AVE,8.0,Buena Vista,PARK,37.7666674,-122.4444016,"(37.7666674, -122.4444016)",Web,,112.0,7.0,5.0,3.0,5.0,15.0,8.0,29492.0,5.0,9.0,9.0,,112.0,,5.0,,,,,,,1.0,,,,,112.0
3560413,748524,10/08/2010 06:19:04 AM,10/08/2010 01:56:46 PM,10/08/2010 01:56:46 PM,Closed,Case Transferred - # 375553,MUNI Work Queue,MUNI Feedback,MUNI - Conduct_Inattentiveness_Negligence,205_Offroute_Did_Not_Complete_Route,Not associated with a specific address,,,,,0.0,0.0,"(0.0, 0.0)",Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682715,15089815,03/12/2022 01:23:00 PM,03/12/2022 10:15:25 PM,03/12/2022 10:15:25 PM,Closed,Case is a Duplicate - Request is a duplicate and has been previously reported as 15080415,DPW Ops Queue,Street and Sidewalk Cleaning,Human or Animal Waste,Human or Animal Waste,"364 AUSTIN ST, SAN FRANCISCO, CA, 94109",AUSTIN ST,2.0,Cathedral Hill,NORTHERN,37.788633713534,-122.424792694042,"(37.78863371, -122.42479269)",Mobile/Open311,http://mobile311.sfgov.org/reports/15089815/photos,100.0,4.0,6.0,39.0,1.0,13.0,6.0,28858.0,9.0,41.0,41.0,,100.0,,6.0,,,,,,,1.0,,,,,100.0
3322704,11118238,07/12/2019 09:26:00 AM,08/08/2019 12:11:59 PM,08/08/2019 12:11:59 PM,Closed,"Case Resolved - Maximo Work Order has been completed. Memo:. 
     Add'l Notes:
    clean water leak into cb refer SFWD (done by M Phillips on 7/12/19 as per Daily Crew Report) clean water leak into cb refer SFWD (done by M Phillips on 7/12/19 as per Daily Crew Report)",PUC Sewer Ops,Catch Basin Maintenance,Maintenance,Maintenance,"1080 BRANNAN ST, SAN FRANCISCO, CA, 94103",BRANNAN ST,6.0,Showplace Square,SOUTHERN,37.769403333333,-122.407936666667,"(37.76940333, -122.40793667)",Mobile/Open311,http://mobile311.sfgov.org/reports/11118238/photos,33.0,1.0,10.0,34.0,9.0,8.0,2.0,28853.0,2.0,34.0,34.0,,33.0,,10.0,,,2.0,,,,2.0,,2.0,,,33.0
5272480,2305538,04/30/2013 09:50:41 AM,05/02/2013 06:16:21 AM,05/02/2013 06:16:21 AM,Closed,Case Completed - resolved:,DPW Ops Queue,Graffiti,Graffiti on Signal_box,Signal_box - Not_Offensive,Intersection of HYDE ST and POST ST,HYDE ST,3.0,Lower Nob Hill,CENTRAL,37.787246704102,-122.416641235352,"(37.7872467, -122.41664124)",Phone,,50.0,6.0,3.0,21.0,10.0,13.0,1.0,28858.0,1.0,21.0,21.0,,50.0,,3.0,,,,,,,2.0,,,,,50.0
1184639,15319320,05/11/2022 01:50:00 PM,06/07/2022 08:42:25 AM,06/07/2022 08:42:25 AM,Closed,"Case is a Duplicate -  Due to the implementation of Prop-E, resources are being
focused into priority 1 and priority 2 tree pruning requests as identified in
the recent tree census. A block pruning plan is in place for all of San
Francisco and maintenance of your tree will take place under these scheduled
routes. Your tree will be addressed at a later date under this scheduled
maintenance plan. Thank you for your patie",DPW Ops Queue,Tree Maintenance,Trees - Overgrown_Tree,Blocking_street_lights,Intersection of 17TH AVE and CLEMENT ST,17TH AVE,1.0,Inner Richmond,RICHMOND,37.782405853271,-122.476303100586,"(37.78240585, -122.4763031)",Phone,,5.0,8.0,4.0,29.0,2.0,11.0,9.0,54.0,6.0,26.0,26.0,,5.0,,4.0,,,,,,,1.0,,,,,5.0
703853,4264614,12/03/2014 08:02:15 AM,12/06/2014 09:00:00 AM,12/06/2014 09:00:00 AM,Closed,Case Completed - resolved: abated,DPW Ops Queue,Graffiti,Graffiti on Signal_box,Signal_box - Offensive,Intersection of DIVISADERO ST and PINE ST,DIVISADERO ST,2.0,Lower Pacific Heights,NORTHERN,37.787113189697,-122.440246582031,"(37.78711319, -122.44024658)",Web,,103.0,4.0,6.0,30.0,1.0,13.0,9.0,29490.0,6.0,27.0,27.0,,103.0,,6.0,,,,,,,1.0,,,,,103.0
221465,546811,11/17/2009 12:08:55 PM,11/18/2009 12:15:05 PM,11/18/2009 12:15:05 PM,Closed,Case Transferred - to psr #350308,MUNI Work Queue,MUNI Feedback,MUNI - Conduct_Unsafe_Operation,108_General_Careless_Operation,Not associated with a specific address,,,,,0.0,0.0,"(0.0, 0.0)",Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810073,14175529,08/12/2021 08:23:00 AM,08/12/2021 10:21:15 PM,08/12/2021 10:21:15 PM,Closed,Case is a Duplicate - Request is a duplicate and has been previously reported as 14166051,DPW Ops Queue,Street and Sidewalk Cleaning,Human or Animal Waste,Human or Animal Waste,"1262 SHAFTER AVE, SAN FRANCISCO, CA, 94124",SHAFTER AVE,10.0,Hunters Point,BAYVIEW,37.727526101193,-122.384420773431,"(37.7275261, -122.38442077)",Mobile/Open311,http://mobile311.sfgov.org/reports/14175529/photos,78.0,2.0,9.0,1.0,8.0,10.0,3.0,58.0,3.0,1.0,1.0,,78.0,,9.0,,,,,,,2.0,,,,,78.0
4036746,13452255,02/04/2021 11:37:00 AM,02/04/2021 02:07:43 PM,02/04/2021 02:07:43 PM,Closed,Case Resolved,RPD Park Service Area 6 Queue,Rec and Park Requests,Park - Neighborhood_Services_Area,Other,"Mission Playground, , SAN FRANCISCO, CA, 94110",Mission Playground,8.0,Mission Dolores,MISSION,37.759292602539,-122.422302246094,"(37.7592926, -122.42230225)",Phone,,37.0,3.0,5.0,20.0,5.0,2.0,7.0,28859.0,4.0,19.0,19.0,,37.0,,5.0,,,,,,,1.0,,,,,37.0
343213,367995,02/07/2009 01:39:37 PM,02/08/2009 03:09:54 PM,02/08/2009 03:09:54 PM,Closed,See Notes tab for more details,DPW Ops Queue,Graffiti,Graffiti on Pole,Pole - Not_Offensive,Intersection of BRAZIL AVE and LISBON ST,BRAZIL AVE,11.0,Excelsior,INGLESIDE,37.72354888916,-122.432434082031,"(37.72354889, -122.43243408)",Phone,,90.0,9.0,1.0,7.0,6.0,9.0,4.0,28861.0,7.0,5.0,5.0,,90.0,,1.0,,,,,,,2.0,,,,,90.0
5240014,14357717,09/17/2021 09:37:00 AM,09/20/2021 07:09:00 AM,09/20/2021 07:09:00 AM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"424 ELLIS ST, SAN FRANCISCO, CA, 94102",ELLIS ST,5.0,Tenderloin,TENDERLOIN,37.7849775,-122.413199,"(37.7849775, -122.413199)",Mobile/Open311,http://mobile311.sfgov.org/reports/14357717/photos,20.0,5.0,10.0,36.0,9.0,7.0,10.0,28852.0,10.0,36.0,36.0,17.0,20.0,,10.0,18.0,,,18.0,6.0,1.0,2.0,1.0,,,,20.0
2458866,7218992,06/03/2017 09:47:24 AM,06/03/2017 11:45:27 AM,06/03/2017 11:45:27 AM,Closed,Case Resolved - Scheduled for service,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,Intersection of FRANCISCO ST and STOCKTON ST,FRANCISCO ST,3.0,North Beach,CENTRAL,37.805060735008,-122.410264425094,"(37.80506074, -122.41026443)",Mobile/Open311,http://mobile311.sfgov.org/reports/7218992/photos,106.0,6.0,3.0,23.0,10.0,3.0,1.0,308.0,1.0,23.0,23.0,,106.0,,3.0,,,,,,,2.0,,,,,106.0
2306332,8139853,10/14/2017 10:47:00 AM,10/16/2017 11:42:00 AM,10/16/2017 11:42:00 AM,Closed,Case Resolved,SFMTA - Citations/Resident Parking Permits - G,General Request - MTA,request_for_service,parking_meter_cards - request_for_service,Not associated with a specific address,,,,,0.0,0.0,"(0.0, 0.0)",Web,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1578781,6596720,12/05/2016 11:07:03 AM,12/09/2016 12:32:51 AM,12/09/2016 12:32:51 AM,Closed,Case Resolved - done,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,Intersection of 20TH ST and POTRERO AVE,20TH ST,10.0,Mission,MISSION,37.759303,-122.406668,"(37.759303, -122.406668)",Mobile/Open311,http://mobile311.sfgov.org/reports/6596720/photos,54.0,3.0,9.0,20.0,8.0,10.0,7.0,28859.0,4.0,19.0,19.0,,54.0,,9.0,,,,,,,2.0,,,,,54.0
2688346,8705980,03/05/2018 08:06:00 AM,03/05/2018 02:50:00 PM,03/05/2018 02:50:00 PM,Closed,Case Transferred - 311 CASE TRANSFERRED TO CODE ENFORCMENT DIVISION,DBI Building Inspection Queue,General Request - BUILDING INSPECTION,request_for_service,building_inspection - request_for_service,Intersection of 22ND ST and BARTLETT ST,22ND ST,9.0,Mission,MISSION,37.755297,-122.419682,"(37.755297, -122.419682)",Mobile/Open311,http://mobile311.sfgov.org/reports/8705980/photos,53.0,3.0,2.0,20.0,7.0,2.0,7.0,28859.0,4.0,19.0,19.0,,53.0,,2.0,,,3.0,,,,2.0,,3.0,,,53.0
1557726,9463731,08/28/2018 11:03:00 AM,09/06/2018 12:49:25 PM,09/06/2018 12:49:25 PM,Closed,"Encampment Removed
Cleared",HSOC Queue,General Request - PUBLIC WORKS,request_for_service,bsm - request_for_service,"2 FOLSOM ST, SAN FRANCISCO, CA, 94105",FOLSOM ST,6.0,Financial District,SOUTHERN,37.791104363313,-122.389043709377,"(37.79110436, -122.38904371)",Mobile/Open311,http://mobile311.sfgov.org/reports/9463731/photos,30.0,1.0,10.0,8.0,9.0,,2.0,28855.0,2.0,6.0,6.0,,30.0,,10.0,,,,,,,1.0,,,,,30.0
4732029,15390917,05/30/2022 05:13:00 PM,05/31/2022 09:26:29 AM,05/31/2022 09:26:29 AM,Closed,Case Resolved,RPD Park Service Area 3 Queue,Street and Sidewalk Cleaning,Bulky Items,Boxed or Bagged Items,"500 FELTON ST, SAN FRANCISCO, CA, 94134",FELTON ST,9.0,Portola,BAYVIEW,37.72879816,-122.40961902,"(37.72879816, -122.40961902)",Mobile/Open311,http://mobile311.sfgov.org/reports/15390917/photos,91.0,2.0,2.0,25.0,7.0,9.0,3.0,309.0,3.0,28.0,28.0,,91.0,,2.0,,,,,,,2.0,,,,,91.0
3911187,798093,01/01/2011 10:01:55 AM,11/16/2011 08:11:33 AM,11/16/2011 08:11:33 AM,Closed,Case Resolved - Older cases closed by 311 and authorized by MTA.,DPT Signal Queue,Damaged Property,Damaged Traffic_Signal,Traffic_Signal,Intersection of JUNIPERO SERRA BLVD and WINSTON DR,JUNIPERO SERRA BLVD,7.0,Stonestown,TARAVAL,37.726821899414,-122.472381591797,"(37.7268219, -122.47238159)",Phone,,41.0,10.0,8.0,41.0,4.0,9.0,5.0,64.0,8.0,40.0,40.0,,41.0,,8.0,,,,,,,1.0,,,,,41.0
4836564,14438327,10/05/2021 02:20:00 PM,10/10/2021 08:25:16 AM,10/10/2021 08:25:16 AM,Closed,Case Resolved,DPW Ops Queue,Graffiti,Graffiti on Other_enter_additional_details_below,Other_enter_additional_details_below - Offensive,Intersection of 2ND AVE and CALIFORNIA ST,2ND AVE,1.0,Presidio Terrace,RICHMOND,37.7855477,-122.4603265,"(37.7855477, -122.4603265)",Web,,4.0,8.0,6.0,11.0,1.0,11.0,9.0,54.0,6.0,11.0,11.0,,4.0,,6.0,,,,,,,1.0,,,,,4.0
1633524,5255717,11/04/2015 05:43:00 PM,11/12/2015 12:00:00 PM,11/12/2015 12:00:00 PM,Closed,"Case Completed - resolved: Condition not found - Site inspected, pictures and notes taken",DPW BSM Queue,Illegal Postings,Illegal Postings - Affixed_Improperly,Affixed Improperly,Intersection of ALERT ALY and DOLORES ST,ALERT ALY,8.0,Mission Dolores,MISSION,37.765583333333,-122.426545,"(37.76558333, -122.426545)",Mobile/Open311,http://mobile311.sfgov.org/reports/5255717/photos,37.0,3.0,5.0,5.0,5.0,8.0,7.0,28862.0,4.0,3.0,3.0,,37.0,,5.0,,,,,,,1.0,,5.0,,,37.0
5177872,12772961,08/14/2020 09:57:00 AM,08/14/2020 10:39:00 AM,08/14/2020 10:39:00 AM,Closed,Case Transferred - Area was cleaned around the encampment; referred to the Police Dept,DPW Ops Queue,Encampments,Encampment Reports,Encampment Cleanup,"860 EDDY ST, SAN FRANCISCO, CA, 94109",EDDY ST,2.0,Cathedral Hill,NORTHERN,37.782867431641,-122.421890258789,"(37.78286743, -122.42189026)",Phone,,100.0,4.0,11.0,39.0,11.0,7.0,6.0,28858.0,9.0,41.0,41.0,,100.0,1.0,11.0,,,,,,,2.0,,,,,100.0
3684135,1111809,04/24/2012 08:09:40 PM,04/26/2012 05:42:08 AM,04/26/2012 05:42:08 AM,Closed,See Notes tab for more details,DPW BSM Queue,Damaged Property,Damaged Kiosk_Public_Toilet,Kiosk_Public_Toilet,Intersection of 7TH ST and MARKET ST,7TH ST,6.0,Civic Center,TENDERLOIN,37.780479431152,-122.41251373291,"(37.78047943, -122.41251373)",Phone,,21.0,5.0,10.0,36.0,9.0,8.0,2.0,28853.0,2.0,36.0,36.0,3.0,21.0,1.0,10.0,3.0,,1.0,3.0,7.0,1.0,2.0,1.0,1.0,35.0,,21.0
2695949,8679016,02/26/2018 10:11:00 AM,02/26/2018 10:28:35 AM,02/26/2018 10:28:35 AM,Closed,Case Resolved - Sent through the blue button to CMMS,DPW Ops Queue,Street and Sidewalk Cleaning,Hazardous Materials,Glass,"846 UNION ST, SAN FRANCISCO, CA, 94133",UNION ST,3.0,Russian Hill,CENTRAL,37.8001327,-122.4132106,"(37.8001327, -122.4132106)",Web,,107.0,6.0,3.0,32.0,10.0,3.0,1.0,308.0,1.0,32.0,32.0,,107.0,,3.0,,,,,,,1.0,,,,,107.0
913426,3318208,01/29/2014 11:47:56 AM,02/03/2014 03:00:57 PM,02/03/2014 03:00:57 PM,Closed,Case Resolved - Cotton jam removed.,DPT Meter_Bike Queue,Damaged Property,Damaged Parking_Meter,Parking_Meter,Intersection of 7TH ST and HOWARD ST,7TH ST,6.0,South of Market,SOUTHERN,37.777976558799,-122.409388115643,"(37.77797656, -122.40938812)",Phone,,32.0,1.0,10.0,34.0,9.0,8.0,2.0,28853.0,2.0,34.0,34.0,24.0,32.0,1.0,10.0,6.0,,1.0,6.0,,1.0,2.0,1.0,1.0,,,32.0
4124620,13266527,12/17/2020 07:30:00 AM,12/17/2020 08:27:00 AM,12/17/2020 08:27:00 AM,Closed,Case is a Duplicate,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"1200 PINE ST, SAN FRANCISCO, CA, 94109",PINE ST,3.0,Nob Hill,CENTRAL,37.790308744927,-122.415718392355,"(37.79030874, -122.41571839)",Mobile/Open311,http://mobile311.sfgov.org/reports/13266527/photos,16.0,6.0,3.0,21.0,10.0,13.0,1.0,28858.0,1.0,21.0,21.0,,16.0,,3.0,,,,,,,1.0,,,,,16.0
